sample,site,year,month,phylum,richness
CP_201706,CP,2017,06,Oomycetes,5
CP_201707,CP,2017,07,Oomycetes,2
CP_201708,CP,2017,08,Oomycetes,2
CP_201709,CP,2017,09,Oomycetes,3
CP_201710,CP,2017,10,Oomycetes,4
CP_201711,CP,2017,11,Oomycetes,4
CP_201801,CP,2018,01,Oomycetes,1
CP_201803,CP,2018,03,Oomycetes,2
CP_201805,CP,2018,05,Oomycetes,5
CP_201807,CP,2018,07,Oomycetes,3
FH_201706,FH,2017,06,Oomycetes,5
FH_201707,FH,2017,07,Oomycetes,5
FH_201708,FH,2017,08,Oomycetes,8
FH_201709,FH,2017,09,Oomycetes,1
FH_201710,FH,2017,10,Oomycetes,4
FH_201711,FH,2017,11,Oomycetes,4
FH_201801,FH,2018,01,Oomycetes,3
FH_201803,FH,2018,03,Oomycetes,1
FH_201805,FH,2018,05,Oomycetes,5
FH_201807,FH,2018,07,Oomycetes,3
LK_201706,LK,2017,06,Oomycetes,7
LK_201707,LK,2017,07,Oomycetes,4
LK_201708,LK,2017,08,Oomycetes,4
LK_201709,LK,2017,09,Oomycetes,4
LK_201710,LK,2017,10,Oomycetes,3
LK_201711,LK,2017,11,Oomycetes,5
LK_201801,LK,2018,01,Oomycetes,1
LK_201803,LK,2018,03,Oomycetes,4
LK_201805,LK,2018,05,Oomycetes,8
LK_201807,LK,2018,07,Oomycetes,3
LL_201703,LL,2017,03,Oomycetes,5
LL_201705,LL,2017,05,Oomycetes,3
LL_201706,LL,2017,06,Oomycetes,2
LL_201707,LL,2017,07,Oomycetes,2
LL_201708,LL,2017,08,Oomycetes,1
LL_201709,LL,2017,09,Oomycetes,3
LL_201710,LL,2017,10,Oomycetes,2
LL_201711,LL,2017,11,Oomycetes,4
LL_201801,LL,2018,01,Oomycetes,1
LL_201803,LL,2018,03,Oomycetes,3
LL_201805,LL,2018,05,Oomycetes,3
LL_201807,LL,2018,07,Oomycetes,2
PO_201703,PO,2017,03,Oomycetes,4
PO_201705,PO,2017,05,Oomycetes,3
PO_201706,PO,2017,06,Oomycetes,5
PO_201707,PO,2017,07,Oomycetes,2
PO_201708,PO,2017,08,Oomycetes,2
PO_201709,PO,2017,09,Oomycetes,5
PO_201711,PO,2017,11,Oomycetes,6
PO_201801,PO,2018,01,Oomycetes,1
PO_201803,PO,2018,03,Oomycetes,2
PO_201805,PO,2018,05,Oomycetes,1
PO_201807,PO,2018,07,Oomycetes,2
SA_201703,SA,2017,03,Oomycetes,2
SA_201705,SA,2017,05,Oomycetes,11
SA_201706,SA,2017,06,Oomycetes,3
SA_201707,SA,2017,07,Oomycetes,0
SA_201708,SA,2017,08,Oomycetes,2
SA_201709,SA,2017,09,Oomycetes,1
SA_201711,SA,2017,11,Oomycetes,5
SA_201801,SA,2018,01,Oomycetes,5
SA_201803,SA,2018,03,Oomycetes,2
SA_201805,SA,2018,05,Oomycetes,3
SA_201807,SA,2018,07,Oomycetes,3
TR_201703,TR,2017,03,Oomycetes,3
TR_201705,TR,2017,05,Oomycetes,5
TR_201706,TR,2017,06,Oomycetes,2
TR_201707,TR,2017,07,Oomycetes,1
TR_201708,TR,2017,08,Oomycetes,1
TR_201709,TR,2017,09,Oomycetes,3
TR_201711,TR,2017,11,Oomycetes,5
TR_201801,TR,2018,01,Oomycetes,2
TR_201803,TR,2018,03,Oomycetes,3
TR_201805,TR,2018,05,Oomycetes,3
TR_201807,TR,2018,07,Oomycetes,2
TW_201703,TW,2017,03,Oomycetes,2
TW_201705,TW,2017,05,Oomycetes,3
TW_201706,TW,2017,06,Oomycetes,4
TW_201707,TW,2017,07,Oomycetes,2
TW_201708,TW,2017,08,Oomycetes,1
TW_201709,TW,2017,09,Oomycetes,2
TW_201711,TW,2017,11,Oomycetes,3
TW_201801,TW,2018,01,Oomycetes,1
TW_201803,TW,2018,03,Oomycetes,4
TW_201805,TW,2018,05,Oomycetes,3
TW_201807,TW,2018,07,Oomycetes,1
